"Klarna Invoice","Klarna Lasku"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Tuntematon osoite. Tarkista henkilötunnuksesi ja paina Hae Osoite-painiketta uudelleen, tai kokeile toista maksutapaa."
"You must choose a payment plan","Valitse maksusuunnitelma."
"Unexpected error, pclass does not exist, please reload page and try again","Virhe, tunnistamaton pclass. Päivitä sivu ja yritä uudelleen."
"Phonenumber must be properly entered","Puhelinnumeron tulee olla täytetty."
"Date of birth fields must be properly entered","Syntymäajan tulee olla täytetty."
"Personal ID must not be empty","Henkilötunnuksen tulee olla täytetty."
"You need to agree to the terms to be able to continue","Sinun täytyy hyväksyä ehdot jatkaaksesi."
"You need to enter your gender to be able to continue","Sinun täytyy valita sukupuolesi jatkaaksesi."
"Klarna was not able to cancel the reservation","Varausta ei pystytty poistamaan."
"Please enter a positive number in this field","Anna tähän kenttään positiivinen luku."
"No address found. Verify the personal id and try again","Osoitetta ei löydetty. Tarkista henkilötunnuksesi ja yritä uudelleen."
"Please note that both shipping and billing address will be updated to this address when you place your order","Huomioi, että tätä osoitetta käytetään tilauksessa sekä laskutus- että toimitusosoitteena."
"Please note that shipping address will be updated to this address when you place your order","Huomioi, että tätä osoitetta käytetään tilauksessa toimitusosoitteena."

"Invoice","Lasku"
"Refund","Palautus"
"month","kuukausi"
"Reservation","Varaus"
"Reservation Pending","Varaus pending-tilassa"
"Reservation Denied","Varaus hylätty"
"Country","Maa"
"Description","Kuvaus"
"Months","Kuukaudet"
"Minimum amount","Vähimmäissumma"
"Address","Osoite"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts– und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Syntymäaika"
"Gender","Sukupuoli"
"Male","Mies"
"Female","Nainen"
"Monthly cost","Kuukausikustannus"
"Total cost","Kokonaissumma"
"Start fee","Aloitusmaksu"
"Personal ID/Registration number","Henkilötunnus/Y-tunnus"
"Fetch ","Hae"
"Identifying...","Tunnistetaan..."
"Phone number","Puhelinnumero"
"Discount (%s)","Alennus (%s)"

"Gift Wrapping for Order","Lahjapaketointi tilaukselle"
"Gift Wrapping for Items","Lahjapaketointi tuotteille"
"Printed Card","Tulostettu kortti"
"Gift Card","Lahjakortti"
"Customer Balance","Asiakkaan avoimet maksut"
"Reward Currency","Hyvityksen valuutta"

"YYMMDD-XXXX","PPKKVVXXXX"
"URL to terms and conditions","URL ehtoihin"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL kaupan omiin ehtoihin (käytössä vain Saksaan ja Itävaltaan myydessä)."
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testitila on käytössä, vain Klarnan testihenkilöillä tehdyt ostot hyväksytään."
"Year","Vuosi"
"Month","Kuukausi"
"Day","Päivä"
"07xxxxxxxx",""

"Disable payment widget on product page","Estä maksuwidgetit tuotesivulla"
"If set to yes, the payment information from Klarna will not appear on the product page","Jos valitset kyllä, Klarnan maksutietoja ei näytetä tuotesivulla"

"Disable method for company purchase","Estä yritysostojen menetelmä"
"Disable this method when company field is filled in during checkout","Estä tämä menetelmä, kun yrityskenttä on täytetty kassalla"
"Default Country Only","Vain oletusmaa"
"Multiple Countries Allowed","Useat maat sallittu"

"Klarna Checkout","Klarna Checkout"
"Auto prefill known Klarna details","Esitäytä tunnetut Klarna-tiedot automaattisesti"
"When activated, it will use the logged in customer details to prefill the Klarna Checkout form","Aktivoinnin jälkeen järjestelmä käyttää kirjautumistietoja esitäyttääkseen Klarna Checkout-lomakkeen"
"Extra order ID attribute","Ylimääräinen tilaustunnus-attribuutti"
"Will be used in the orderid2 field on the Klarna order","Käytetään Klarna-tilauksissa tilaustunnus2-kentässä"
"Newsletter","Uutiskirje"
"If checkbox for newsletter should be shown in checkout page.","Jos uutiskirjeen valintaruudun tulisi näkyä kassasivulla."
"Checked by default","Oletuksena valittu"
"A/B Testing settings","A/B-Testausasetukset"
"Activate A/B Testing","Activate A/B Testing"
"Enable for IP range","Salli IP-alue"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","Valitse kaksi numeroa välillä 0 ja 255, viivalla erotettuna. Esimerkiksi: '0-50'. Tyhjä arvo sallii kaikki IP-osoitteet"
"Enable for logged in Customers","Salli sisäänkirjautuneet asiakkaat"
"If not enabled, logged in customers will use standard Magento checkout","Jos ei sallittu, sisäänkirjautuneet asiakkaat käyttävät Magenton standardikassaa"
"Enable for specific customer groups","Salli tietyt asiakasryhmät"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","Jos et kuulu valittuun asiakasryhmään, käytetään Magenton standardikassaa. Jos mitään ei valita, tarkoittaa se sallittua kaikille"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s"
"No","Ei"
"Yes - Subscribe to newsletter","Kyllä - Tilaa uutiskirje"
"Yes - Don't subscribe to newsletter","Kyllä - En tilaa uutiskirjettä"
"Subscribe to newsletter","Tilaa uutiskirje"
"Don't subscribe to newsletter","En tilaa uutiskirjettä"
"URL to this stores own terms and conditions","URL kaupan omiin ehtoihin."
"Refund amount","Palautussumma"
"Go to Klarna Checkout","Siirry Klarna Checkout -palveluun"
"Other Payment Methods","Muut maksutavat"

"Country Default","Maa, oletus"
"Force entry of phonenumber","Pakota puhelinnumeron merkintä"
"Enable DHL Packstation","Salli DHL Packstation"
"Enable cart in checkout page","Salli kori kassasivulla"
"Only available in Germany","Saatavilla vain Saksassa"
"Enable Autofocus for Klarna Checkout","Salli Autofocus Klarna Checkoutissa"
"Support of other payment methods","Muiden maksutapojen tuki"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","Jos sallittu, yksi painike sijoitetaan Klarna Checkout -sivulle ja yksi standardikassan maksuvaiheeseen"
"Label for Other Payment Methods button","Muut maksutavat-painikkeen nimike"
"Label for Back to Klarna Checkout button","Takaisin Klarna Checkoutiin -painikkeen nimike"
"Other Payment Methods","Muut maksutavat"
"Go to Klarna Checkout","Siirry Klarna Checkoutiin"
"This can be free text or a complete URL to a reasonably sized image","TTämä voi olla tekstiä tai kokonainen URL kohtuullisen kokoiseen kuvaan"
"Reference","Viite"
"Order Id","Tilaustunnus"
"Capture ID","Capture ID"
"Klarna Checkout is not responding properly. Please try again in a while or choose another payment method.","Klarna Checkout ei vastaa normaalisti. Ole hyvä ja yritä hetken kuluttua uudelleen tai valitse jokin toinen maksutapa."

"Please note that your official address will be used for shipping and billing address when you place your order","Huomioithan että osoitettasi käytetään sekä toimitus- että laskutusosoitteena jätettyäsi tilauksen"
"User Defined Variables","User Defined Variables"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working"
"Disable Klarna Backend","Disable Klarna Backend"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system"
"Invoice Klarna Orders","Invoice Klarna Orders"
"Invoice created for order","Invoice created for order"
"Order ignored, does not have Klarna as payment method","Order ignored, does not have Klarna as payment method"
"Default","Default"
"Layout","Layout"
"2 columns with right sidebar","2 columns with right sidebar"
"Show login form","Show login form"
"Only for 2 column layout","Only for 2 column layout"
"Order Summary", "Yhteenveto"
"E-mail", "E-mail"
"Password", "Password"
"Login", "Login"
"Shipping Countries","Shipping Countries"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Please note that your official address will be used for shipping address when you place your order"
"Technical problem occurred while using %s payment method. Please try again later.","Ett tekniskt problem inträffade för betalningsmetoden %s. Var god försök igen senare."

"Cart redirect","Cart redirect"
"Default is cart, custom redirect must not go to any checkout page","Default is cart, custom redirect must not go to any checkout page"
"Enable javascript trigger for address update","Enable javascript trigger for address update"
"Automatically register guests on checkout","Automatically register guests on checkout"
"If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests.","If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests."
"Only when https is activated in checkout","Only when https is activated in checkout"
"Automatically reactivate Klarna Checkout","Automatically reactivate Klarna Checkout"
"If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!","If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!"
"Only run Klarma Checkout if Explicitly called","Only run Klarma Checkout if Explicitly called"
"If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default","If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default"
"Enable A/B Testing","Enable A/B Testing"
"Specific for API V.3x (US and UK)","Endast för API V.3x (US och UK)"
"Show other allowed shipping countries","Show other allowed shipping countries"
"List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Lista över tillåtna länder att leverera till. Är ingen vald, visas ingen. Listan visas i Klarna Checkout"
"Include Shipping Options","Include Shipping Options"
"List of available shipping options that should appear in Klarna Checkout.","List of available shipping options that should appear in Klarna Checkout."
"Show Extended Error Message","Show Extended Error Message"
"""Yes"" - show error messages provided by Klarna. ""No"" - show default error message","""Yes"" - show error messages provided by Klarna. ""No"" - show default error message"
"Show extended error message in case if authorization was failed","Show extended error message in case if authorization was failed"
"Show advanced options","Visa avancerade alternativ"
"Display advanced or seldomly used settings","Visa avancerade eller sällan använda alternativ"
"Can be used if site is in a different language than the official language of current country","Kan användas om språket på siten är ett annat än det officiella språket för landet"

"Please note that the shipping address will be used for both shipping and billing address when you place your order","Leveransadressen kommer att användas för både leverans och fakturaadress när du lägger ordern"
"Name and country must be the same for shipping and billing address!","Namn och land måste vara samma på både leverans och faktura adress!"
"Allow part capture when orders have discount","Tillåt del aktivering när ordrar har rabatter"
"Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk.","På grund av hur rabatter läggs till i Klarnas reservation, att del aktivera kan orsaka att för låg summa fångas. Aktivera på egen risk."

"Shopping Cart","Ostoskori"
"Choose shipping method","Valitse toimitustapa"
"Quantity","Määrä"
"Payment cancelled or some error occured. Please try again.","Maksu peruuntui tai tapahtui jokin muu virhe. Yritä hetken kuluttua uudelleen."

"German specific hardcoded usecase with links (part one)","Verfügungsrahmen ab 199,99 € (abhängig von der Höhe Ihrer Einkäufe), effektiver Jahreszins 18,07 %* und Gesamtbetrag 218,57 €* (bei Ausnutzung des vollen Verfügungsrahmens und Rückzahlung in 12 monatlichen Raten je 18,21 €)."
"German specific hardcoded usecase with links (part two), weitere Informationen link %s AGB link %s Standardinformationen link %s","Hier finden Sie %s, %s und %s."
"German specific hardcoded usecase with links (part three), Rechnungskauf link %s","Übersteigt Ihr Einkauf mit Klarna Ratenkauf erstmals einen Betrag von 199,99 €, erhalten Sie von Klarna einen Ratenkaufvertrag mit der Bitte um Unterzeichnung zugesandt. Ihr Kauf gilt solange als %s."
"weitere Informationen","weitere Informationen"
"AGB mit Widerrufsbelehrung","AGB mit Widerrufsbelehrung"
"Standardinformationen für Verbraucherkredite","Standardinformationen für Verbraucherkredite"
"Rechnungskauf","Rechnungskauf"
"Pay in 15 days","Pay in 15 days"
"Not available for Austria and the Netherlands","Not available for Austria and the Netherlands"
"Klarna supports one country per store","Klarna supports one country per store"
