"Klarna Invoice","Klarna Faktura"
"No address found. Verify the personal id and try again","Ingen adresse ble funnet. Kontroller fødselsnummer og prøv på nytt."
"Please note that both shipping and billing address will be updated to this address when you place your order","Både leveranse- og fakturaadresse vil bli oppdatert til denne adressen når du sluttfører ordren."
"Please note that shipping address will be updated to this address when you place your order","Leveranseadressen vil bli oppdatert til denne adressen når du sluttfører ordren."

"Invoice","Faktura"
"Refund","Refunder"
"month","måned"
"Reservation","Reservasjon"
"Reservation Pending","Reservasjonen er ventende"
"Reservation Denied","Reservasjonen ble avvist"
"Country","Land"
"Description","Beskrivelse"
"Months","Måneder"
"Minimum amount","Minste beløp"
"Address","Adresse"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts– und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Fødselsdato"
"Gender","Kjønn"
"Male","Mann"
"Female","Kvinne"
"Monthly cost","Månedskostnad"
"Total cost","Total kostnad"
"Start fee","Startgebyr"
"Personal ID/Registration number","Fødselsnummer/Organisasjonsnummer"
"Fetch ","Hent adresse"
"Identifying...","Identifiserer..."
"Phone number","Telefonnummer"
"Discount (%s)","Rabatt (%s)"

"Gift Wrapping for Order","Gaveinnpakking for ordre"
"Gift Wrapping for Items","Gaveinnpakking for varer"
"Printed Card","Printet kort"
"Gift Card","Gavekort"
"Customer Balance","Kundesaldo"
"Reward Currency","Belønningsvaluta"

"YYMMDD-XXXX","DDMMYYNNNN"
"URL to terms and conditions","URL til vilkår"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL til butikkens egne salgsbetingelser (brukes bare i Tyskland og Østerrike)"
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testmodus er aktivert, kun Klarnas testpersoner vil bli godkjent."
"Year","År"
"Month","Måned"
"Day","Dag"
"07xxxxxxxx",""

"Disable payment widget on product page","Disable payment widget on product page"
"If set to yes, the payment information from Klarna will not appear on the product page","If set to yes, the payment information from Klarna will not appear on the product page"

"Disable method for company purchase","Disable method for company purchase"
"Disable this method when company field is filled in during checkout","Disable this method when company field is filled in during checkout"
"Default Country Only","Default Country Only"
"Multiple Countries Allowed","Multiple Countries Allowed"

"Klarna Checkout","Klarna Checkout"
"Auto prefill known Klarna details","Auto prefill known Klarna details"
"When activated, it will use the logged in customer details to prefill the Klarna Checkout form","When activated, it will use the logged in customer details to prefill the Klarna Checkout form"
"Extra order ID attribute","Extra order ID attribute"
"Will be used in the orderid2 field on the Klarna order","Will be used in the orderid2 field on the Klarna order"
"Newsletter","Newsletter"
"If checkbox for newsletter should be shown in checkout page.","If checkbox for newsletter should be shown in checkout page."
"Checked by default","Checked by default"
"A/B Testing settings","A/B Testing settings"
"Activate A/B Testing","Activate A/B Testing"
"Enable for IP range","Enable for IP range"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses"
"Enable for logged in Customers","Enable for logged in Customers"
"If not enabled, logged in customers will use standard Magento checkout","If not enabled, logged in customers will use standard Magento checkout"
"Enable for specific customer groups","Enable for specific customer groups"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s"
"No","No"
"Yes - Subscribe to newsletter","Yes - Subscribe to newsletter"
"Yes - Don't subscribe to newsletter","Yes - Don't subscribe to newsletter"
"Subscribe to newsletter","Subscribe to newsletter"
"Don't subscribe to newsletter","Don't subscribe to newsletter"
"URL to this stores own terms and conditions","URL til butikkens egne salgsbetingelser"
"Refund amount","Refund amount"
"Go to Klarna Checkout","Go to Klarna Checkout"
"Other Payment Methods","Other Payment Methods"

"Country Default","Country Default"
"Force entry of phonenumber","Force entry of phonenumber"
"Enable DHL Packstation","Enable DHL Packstation"
"Enable cart in checkout page","Enable cart in checkout page"
"Only available in Germany","Only available in Germany"
"Enable Autofocus for Klarna Checkout","Enable Autofocus for Klarna Checkout"
"Support of other payment methods","Support of other payment methods"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout"
"Label for Other Payment Methods button","Label for Other Payment Methods button"
"Label for Back to Klarna Checkout button","Label for Back to Klarna Checkout button"
"Other Payment Methods","Other Payment Methods"
"Go to Klarna Checkout","Go to Klarna Checkout"
"This can be free text or a complete URL to a reasonably sized image","This can be free text or a complete URL to a reasonably sized image"
"Reference","Reference"
"Order Id","Order Id"
"Capture ID","Capture ID"
"Klarna Checkout is not responding properly. Please try again in a while or choose another payment method.","Klarna Checkout is not responding properly. Please try again in a while or choose another payment method."

"Please note that your official address will be used for shipping and billing address when you place your order","Please note that your official address will be used for shipping and billing address when you place your order"
"User Defined Variables","User Defined Variables"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working"
"Disable Klarna Backend","Disable Klarna Backend"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system"
"Invoice Klarna Orders","Invoice Klarna Orders"
"Invoice created for order","Invoice created for order"
"Order ignored, does not have Klarna as payment method","Order ignored, does not have Klarna as payment method"
"Default","Default"
"Layout","Layout"
"2 columns with right sidebar","2 columns with right sidebar"
"Show login form","Show login form"
"Only for 2 column layout","Only for 2 column layout"
"Order Summary", "Order Summary"
"E-mail", "E-mail"
"Password", "Password"
"Login", "Login"
"Shipping Countries","Shipping Countries"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Please note that your official address will be used for shipping address when you place your order"
"Technical problem occurred while using %s payment method. Please try again later.","Technical problem occurred while using %s payment method. Please try again later."

"Cart redirect","Cart redirect"
"Default is cart, custom redirect must not go to any checkout page","Default is cart, custom redirect must not go to any checkout page"
"Enable javascript trigger for address update","Enable javascript trigger for address update"
"Automatically register guests on checkout","Automatically register guests on checkout"
"If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests.","If disabled and Guest Checkout is allowed in Magento Checkout Options, orders will be placed as guests."
"Only when https is activated in checkout","Only when https is activated in checkout"
"Automatically reactivate Klarna Checkout","Automatically reactivate Klarna Checkout"
"If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!","If enabled, it will go to Klarna Checkout next time checkout is requested, if user exits standard checkout by going to another page. Attention! If there are many customizations in standard checkout, it might cause this reactivation as well!"
"Only run Klarma Checkout if Explicitly called","Only run Klarma Checkout if Explicitly called"
"If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default","If set to Yes, and you go to checkout without any customisation, it will go to standard checkout rather than Klarna Checkout by default"
"Enable A/B Testing","Enable A/B Testing"
"Specific for API V.3x (US and UK)","Specific for API V.3x (US and UK)"
"Show other allowed shipping countries","Show other allowed shipping countries"
"List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Include Shipping Options","Include Shipping Options"
"List of available shipping options that should appear in Klarna Checkout.","List of available shipping options that should appear in Klarna Checkout."
"Show Extended Error Message","Show Extended Error Message"
"""Yes"" - show error messages provided by Klarna. ""No"" - show default error message","""Yes"" - show error messages provided by Klarna. ""No"" - show default error message"
"Show extended error message in case if authorization was failed","Show extended error message in case if authorization was failed"
"Show advanced options","Show advanced options"
"Display advanced or seldomly used settings","Display advanced or seldomly used settings"
"Can be used if site is in a different language than the official language of current country","Can be used if site is in a different language than the official language of current country"

"Please note that the shipping address will be used for both shipping and billing address when you place your order","Please note that the shipping address will be used for both shipping and billing address when you place your order"
"Name and country must be the same for shipping and billing address!","Name and country must be the same for shipping and billing address!"
"Allow part capture when orders have discount","Allow part capture when orders have discount"
"Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk.","Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk."

"Shopping Cart","Shopping Cart"
"Choose shipping method","Choose shipping method"
"Quantity","Quantity"
"Payment cancelled or some error occured. Please try again.","Payment cancelled or some error occured. Please try again."

"German specific hardcoded usecase with links (part one)","Verfügungsrahmen ab 199,99 € (abhängig von der Höhe Ihrer Einkäufe), effektiver Jahreszins 18,07 %* und Gesamtbetrag 218,57 €* (bei Ausnutzung des vollen Verfügungsrahmens und Rückzahlung in 12 monatlichen Raten je 18,21 €)."
"German specific hardcoded usecase with links (part two), weitere Informationen link %s AGB link %s Standardinformationen link %s","Hier finden Sie %s, %s und %s."
"German specific hardcoded usecase with links (part three), Rechnungskauf link %s","Übersteigt Ihr Einkauf mit Klarna Ratenkauf erstmals einen Betrag von 199,99 €, erhalten Sie von Klarna einen Ratenkaufvertrag mit der Bitte um Unterzeichnung zugesandt. Ihr Kauf gilt solange als %s."
"weitere Informationen","weitere Informationen"
"AGB mit Widerrufsbelehrung","AGB mit Widerrufsbelehrung"
"Standardinformationen für Verbraucherkredite","Standardinformationen für Verbraucherkredite"
"Rechnungskauf","Rechnungskauf"
"Pay in 15 days","Pay in 15 days"
"Not available for Austria and the Netherlands","Not available for Austria and the Netherlands"
"Klarna supports one country per store","Klarna supports one country per store"
