"Klarna Invoice","Achteraf betalen"
"Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk.","Due to how discounts are added on the Klarna reservation, part capturing an order with a discount can result in too low amounts being captured. Activate on your own risk."

"Shopping Cart","Shopping Cart"
"Choose shipping method","Choose shipping method"
"Quantity","Quantity"
"Payment cancelled or some error occured. Please try again.","Payment cancelled or some error occured. Please try again."

"German specific hardcoded usecase with links (part one)","Verfügungsrahmen ab 199,99 € (abhängig von der Höhe Ihrer Einkäufe), effektiver Jahreszins 18,07 %* und Gesamtbetrag 218,57 €* (bei Ausnutzung des vollen Verfügungsrahmens und Rückzahlung in 12 monatlichen Raten je 18,21 €)."
"German specific hardcoded usecase with links (part two), weitere Informationen link %s AGB link %s Standardinformationen link %s","Hier finden Sie %s, %s und %s."
"German specific hardcoded usecase with links (part three), Rechnungskauf link %s","Übersteigt Ihr Einkauf mit Klarna Ratenkauf erstmals einen Betrag von 199,99 €, erhalten Sie von Klarna einen Ratenkaufvertrag mit der Bitte um Unterzeichnung zugesandt. Ihr Kauf gilt solange als %s."
"weitere Informationen","weitere Informationen"
"AGB mit Widerrufsbelehrung","AGB mit Widerrufsbelehrung"
"Standardinformationen für Verbraucherkredite","Standardinformationen für Verbraucherkredite"
"Rechnungskauf","Rechnungskauf"
"Pay in 15 days","Binnen 14 dagen"
"Not available for Austria and the Netherlands","Not available for Austria and the Netherlands"
"Klarna supports one country per store","Klarna supports one country per store"
